year,decade,century,tried,deaths,city,gadm.adm2,gadm.adm1,gadm.adm0,lon,lat,record.source
,1520,1500,1,1.0,,,,Estonia,,,Madar (1990)
,1530,1500,1,1.0,,,,Estonia,,,Madar (1990)
,1540,1500,5,5.0,,,,Estonia,,,Madar (1990)
,1580,1500,7,5.0,,,,Estonia,,,Madar (1990)
,1590,1500,11,0.0,,,,Estonia,,,Madar (1990)
,1600,1600,6,1.0,,,,Estonia,,,Madar (1990)
,1610,1600,22,18.0,,,,Estonia,,,Madar (1990)
,1620,1600,14,8.0,,,,Estonia,,,Madar (1990)
,1630,1600,25,4.0,,,,Estonia,,,Madar (1990)
,1640,1600,39,10.0,,,,Estonia,,,Madar (1990)
,1650,1600,10,1.0,,,,Estonia,,,Madar (1990)
,1660,1600,10,4.0,,,,Estonia,,,Madar (1990)
,1670,1600,8,1.0,,,,Estonia,,,Madar (1990)
,1680,1600,8,3.0,,,,Estonia,,,Madar (1990)
,1690,1600,28,3.0,,,,Estonia,,,Madar (1990)
,1700,1700,5,0.0,,,,Estonia,,,Madar (1990)
,1720,1700,5,0.0,,,,Estonia,,,Madar (1990)
,1520,1500,1,0.0,,,,Finland,,,Heikkinen and Kervinen (1990)
,1540,1500,8,0.0,,,,Finland,,,Heikkinen and Kervinen (1990)
,1550,1500,12,1.0,,,,Finland,,,Heikkinen and Kervinen (1990)
,1560,1500,16,4.0,,,,Finland,,,Heikkinen and Kervinen (1990)
,1570,1500,22,3.0,,,,Finland,,,Heikkinen and Kervinen (1990)
,1580,1500,15,2.0,,,,Finland,,,Heikkinen and Kervinen (1990)
,1590,1500,8,1.0,,,,Finland,,,Heikkinen and Kervinen (1990)
,1600,1600,7,2.0,,,,Finland,,,Heikkinen and Kervinen (1990)
,1610,1600,6,0.0,,,,Finland,,,Heikkinen and Kervinen (1990)
,1620,1600,22,3.0,,,,Finland,,,Heikkinen and Kervinen (1990)
,1630,1600,27,2.0,,,,Finland,,,Heikkinen and Kervinen (1990)
,1640,1600,66,11.0,,,,Finland,,,Heikkinen and Kervinen (1990)
,1650,1600,73,10.0,,,,Finland,,,Heikkinen and Kervinen (1990)
,1660,1600,87,25.0,,,,Finland,,,Heikkinen and Kervinen (1990)
,1670,1600,157,41.0,,,,Finland,,,Heikkinen and Kervinen (1990)
,1680,1600,121,9.0,,,,Finland,,,Heikkinen and Kervinen (1990)
,1690,1600,62,1.0,,,,Finland,,,Heikkinen and Kervinen (1990)
,1520,1500,3,1.0,,,,Hungary,,,Klaniczay (1990)
,1530,1500,3,1.0,,,,Hungary,,,Klaniczay (1990)
,1540,1500,3,1.0,,,,Hungary,,,Klaniczay (1990)
,1550,1500,3,1.0,,,,Hungary,,,Klaniczay (1990)
,1560,1500,5,4.0,,,,Hungary,,,Klaniczay (1990)
,1570,1500,5,1.0,,,,Hungary,,,Klaniczay (1990)
,1580,1500,17,11.0,,,,Hungary,,,Klaniczay (1990)
