century,tried,gadm.adm0
1600,6,Estonia
1600,22,Estonia
1600,14,Estonia
1600,25,Estonia
1600,39,Estonia
1600,10,Estonia
1600,10,Estonia
1600,8,Estonia
1600,8,Estonia
1600,28,Estonia
1600,7,Finland
1600,6,Finland
1600,22,Finland
1600,27,Finland
1600,66,Finland
1600,73,Finland
1600,87,Finland
1600,157,Finland
1600,121,Finland
1600,62,Finland
1600,12,Hungary
1600,15,Hungary
1600,43,Hungary
1600,38,Hungary
1600,51,Hungary
1600,57,Hungary
1600,63,Hungary
1600,57,Hungary
1600,45,Hungary
1600,103,Hungary
1600,21,Norway
1600,73,Norway
1600,134,Norway
1600,80,Norway
1600,97,Norway
1600,80,Norway
1600,157,Norway
1600,56,Norway
1600,64,Norway
1600,26,Norway
1600,7,Switzerland
1600,7,Switzerland
1600,7,Switzerland
1600,1,Switzerland
1600,4,Switzerland
1600,4,Switzerland
1600,4,Switzerland
1600,4,Switzerland
1600,4,Switzerland
1600,1,Switzerland
1600,1,Switzerland
1600,1,Switzerland
1600,1,Switzerland
1600,1,Switzerland
1600,6,Switzerland
1600,6,Switzerland
1600,6,Switzerland
1600,6,Switzerland
1600,6,Switzerland
1600,6,Switzerland
1600,6,Switzerland
1600,6,Switzerland
1600,6,Switzerland
1600,6,Switzerland
1600,11,Switzerland
1600,11,Switzerland
1600,11,Switzerland
1600,11,Switzerland
1600,11,Switzerland
1600,2,Switzerland
1600,2,Switzerland
1600,2,Switzerland
1600,2,Switzerland
1600,2,Switzerland
1600,1,Switzerland
1600,1,Switzerland
1600,1,Switzerland
1600,1,Switzerland
1600,1,Switzerland
1600,1,Switzerland
1600,1,Switzerland
1600,1,Switzerland
1600,1,Switzerland
1600,1,Switzerland
1600,3,Switzerland
1600,3,Switzerland
1600,3,Switzerland
1600,3,Switzerland
1600,3,Switzerland
1600,3,Switzerland
1600,100,Switzerland
1600,100,Switzerland
1600,100,Switzerland
1600,100,Switzerland
1600,100,Switzerland
1600,100,Switzerland
1600,100,Switzerland
1600,100,Switzerland
1600,100,Switzerland
1600,100,Switzerland
1600,15,Switzerland
1600,15,Switzerland
1600,15,Switzerland
1600,15,Switzerland
1600,15,Switzerland
1600,1,Switzerland
1600,17,Switzerland
1600,17,Switzerland
1600,17,Switzerland
1600,17,Switzerland
1600,17,Switzerland
1600,26,Switzerland
1600,28,Switzerland
1600,28,Switzerland
1600,5,Switzerland
1600,26,Switzerland
1600,28,Switzerland
1600,5,Switzerland
1600,124,Switzerland
1600,28,Switzerland
1600,5,Switzerland
1600,28,Switzerland
1600,5,Switzerland
1600,34,Switzerland
1600,6,Switzerland
1600,28,Switzerland
1600,5,Switzerland
1600,3,Switzerland
1600,3,Switzerland
1600,3,Switzerland
1600,3,Switzerland
1600,3,Switzerland
1600,8,Switzerland
1600,3,Switzerland
1600,8,Switzerland
1600,3,Switzerland
1600,8,Switzerland
1600,8,Switzerland
1600,8,Switzerland
1600,30,Switzerland
1600,30,Switzerland
1600,30,Switzerland
1600,30,Switzerland
1600,30,Switzerland
1600,30,Switzerland
1600,30,Switzerland
1600,30,Switzerland
1600,30,Switzerland
1600,30,Switzerland
1600,11,Switzerland
1600,11,Switzerland
1600,11,Switzerland
1600,11,Switzerland
1600,11,Switzerland
1600,4,Switzerland
1600,4,Switzerland
1600,4,Switzerland
1600,4,Switzerland
1600,4,Switzerland
1600,11,Switzerland
1600,11,Switzerland
1600,11,Switzerland
1600,11,Switzerland
1600,11,Switzerland
1600,4,Switzerland
1600,4,Switzerland
1600,4,Switzerland
1600,4,Switzerland
1600,4,Switzerland
1600,2,Switzerland
1600,1,Switzerland
1600,2,Switzerland
1600,1,Switzerland
1600,2,Switzerland
1600,1,Switzerland
1600,2,Switzerland
1600,1,Switzerland
1600,2,Switzerland
1600,1,Switzerland
1600,1,Switzerland
1600,1,Switzerland
1600,1,Switzerland
1600,1,Switzerland
1600,1,Switzerland
